migrationfrom,migrationto,year,n_migrations,n_migrations_back,netmigrations
USA,GBR,2016.0,1887,1984,-97
USA,TTO,2020.0,12,10,2
CHE,SWE,2011.0,56,63,-7
NLD,BEL,2010.0,132,119,13
DEU,POL,2012.0,77,87,-10
FRA,CHN,2006.0,46,67,-21
GBR,RUS,2018.0,64,48,16
GBR,PRT,2003.0,53,27,26
IRL,AUS,2013.0,55,28,27
MYS,GBR,2003.0,18,61,-43
ESP,MAR,2018.0,20,8,12
MAR,ESP,2020.0,10,17,-7
CAN,DNK,2014.0,28,19,9
NLD,GBR,2015.0,369,250,119
BRA,USA,2002.0,307,367,-60
ITA,GBR,2011.0,394,255,139
USA,KEN,2009.0,32,32,0
USA,KEN,2011.0,34,37,-3
JPN,GBR,2007.0,124,112,12
GBR,FRA,1997.0,209,193,16
GBR,IRL,2002.0,251,181,70
CAN,FRA,2013.0,262,390,-128
CHN,USA,2018.0,3772,3825,-53
CHE,DEU,2006.0,298,564,-266
GBR,ITA,2000.0,191,249,-58
GBR,NZL,2015.0,118,126,-8
USA,THA,2009.0,188,103,85
FIN,GBR,2012.0,47,59,-12
FRA,ARE,2009.0,8,1,7
DEU,FRA,2009.0,345,346,-1
SGP,FRA,2016.0,24,34,-10
GRC,LUX,2022.0,6,3,3
SWE,NOR,2012.0,75,63,12
SWE,CHE,2006.0,50,23,27
FIN,USA,2021.0,91,80,11
SWE,DEU,2016.0,144,201,-57
NZL,USA,2003.0,128,148,-20
USA,ITA,2006.0,423,465,-42
GBR,PAK,2007.0,37,21,16
AUS,LKA,2010.0,5,16,-11
BRA,USA,2005.0,309,319,-10
USA,BRA,2011.0,458,378,80
DEU,NLD,2015.0,291,323,-32
DEU,GBR,2014.0,729,702,27
JPN,NLD,2001.0,27,27,0
PRT,BRA,2010.0,90,102,-12
TWN,USA,2009.0,271,375,-104
GBR,RUS,2017.0,46,55,-9
CHE,CHN,2004.0,17,11,6
ZAF,GBR,2004.0,64,59,5
CZE,USA,2010.0,37,37,0
FIN,AUT,2011.0,16,6,10
CAN,USA,2001.0,1831,1349,482
BEL,TZA,2016.0,1,5,-4
POL,CHE,2010.0,22,9,13
IND,GBR,1999.0,73,63,10
KOR,IND,2016.0,145,205,-60
HKG,CHN,2012.0,717,726,-9
SAU,CAN,2007.0,21,45,-24
LBN,USA,1997.0,7,16,-9
GBR,BRA,2006.0,75,44,31
AUT,GBR,2014.0,89,76,13
GBR,BRA,2010.0,77,54,23
CHL,USA,2004.0,62,62,0
GBR,LKA,2012.0,9,17,-8
FIN,ESP,2013.0,15,18,-3
TUN,CHE,2016.0,3,1,2
POL,UKR,2006.0,16,21,-5
PER,USA,2011.0,34,39,-5
CAN,DEU,2017.0,194,183,11
IND,PAK,2010.0,16,19,-3
IRL,USA,2010.0,135,146,-11
BRA,USA,1997.0,139,187,-48
BGR,NLD,2011.0,2,1,1
USA,DNK,2010.0,111,110,1
AUT,USA,2006.0,109,86,23
CHE,GBR,2003.0,135,174,-39
USA,RUS,2004.0,319,321,-2
FRA,CIV,2014.0,20,32,-12
CAN,FRA,2003.0,177,230,-53
USA,RUS,2015.0,215,182,33
ITA,CHE,2011.0,176,115,61
CHE,BRA,2012.0,16,19,-3
VNM,RUS,2020.0,11,28,-17
CHE,MEX,2000.0,5,4,1
SAU,ZAF,2012.0,20,25,-5
GBR,USA,1997.0,938,938,0
USA,MEX,2002.0,262,235,27
USA,IND,2012.0,829,997,-168
BEL,CHN,2012.0,36,38,-2
SWE,CAN,2006.0,36,21,15
GBR,DEU,2016.0,699,832,-133
GBR,CAN,2013.0,391,359,32
GBR,NZL,2001.0,115,98,17
GBR,CHE,2004.0,164,115,49
GBR,CHE,2015.0,274,272,2
POL,ESP,2009.0,19,8,11
FRA,CIV,2008.0,33,17,16
CHN,BEL,2011.0,36,31,5
DEU,CHN,2010.0,175,222,-47
CHE,DEU,2010.0,470,631,-161
FRA,ITA,2016.0,259,396,-137
IND,MEX,2011.0,3,3,0
POL,UKR,2023.0,27,45,-18
USA,BRA,2019.0,445,718,-273
PHL,USA,2022.0,39,38,1
ITA,GBR,2009.0,345,220,125
AUS,CAN,2014.0,154,201,-47
CAN,GBR,2019.0,422,526,-104
DEU,ARG,2006.0,19,35,-16
SGP,USA,2009.0,166,222,-56
BEL,MAR,2011.0,10,1,9
DEU,GBR,2001.0,473,473,0
GBR,TUR,2004.0,44,29,15
JPN,CHN,2007.0,418,252,166
USA,SWE,2022.0,219,192,27
CAN,KOR,2015.0,39,49,-10
SGP,CHN,2015.0,298,272,26
DEU,GBR,2015.0,736,687,49
GBR,DEU,2022.0,705,495,210
SWE,AUT,2021.0,23,25,-2
GBR,TZA,2020.0,9,7,2
USA,EGY,2018.0,166,128,38
CHN,GBR,2020.0,588,754,-166
GBR,ZMB,2002.0,3,5,-2
SGP,USA,2011.0,171,268,-97
IND,MYS,2016.0,80,46,34
CAN,CHN,2019.0,459,439,20
VEN,ESP,2020.0,21,16,5
GBR,ESP,2004.0,186,161,25
NOR,SWE,2010.0,53,64,-11
HUN,HRV,2015.0,3,1,2
AUT,POL,2012.0,12,11,1
GBR,FRA,2005.0,299,372,-73
ITA,NLD,2007.0,76,69,7
ITA,USA,2014.0,673,482,191
RUS,SWE,2023.0,15,8,7
CAN,CHE,2007.0,52,71,-19
AUT,DEU,2022.0,283,330,-47
JPN,NZL,2011.0,5,8,-3
CHL,USA,2014.0,114,152,-38
JPN,ARG,2003.0,2,2,0
JPN,GRC,2011.0,4,2,2
CHE,GBR,2013.0,230,284,-54
NOR,PRT,2016.0,9,10,-1
MYS,AUS,2012.0,64,84,-20
AUT,GBR,2008.0,69,45,24
JPN,SGP,2003.0,22,10,12
CZE,JPN,2007.0,8,6,2
NZL,SGP,2008.0,15,8,7
SAU,BHR,2015.0,8,4,4
GBR,ITA,2010.0,240,368,-128
PAN,USA,2001.0,12,4,8
CHL,USA,2008.0,98,103,-5
ZAF,IRL,2015.0,2,1,1
RUS,AUT,2012.0,17,6,11
AUT,RUS,2019.0,7,16,-9
RUS,SRB,2022.0,5,3,2
AUS,CHN,2009.0,105,149,-44
DNK,USA,2013.0,135,160,-25
SGP,OMN,2015.0,1,1,0
GBR,ETH,2013.0,10,12,-2
IND,TWN,2002.0,34,11,23
GBR,FIN,2013.0,52,40,12
UKR,DEU,2019.0,38,16,22
GBR,GRC,2009.0,152,136,16
GRC,HUN,2011.0,2,2,0
SAU,USA,1999.0,27,33,-6
SWE,AUS,2018.0,57,59,-2
THA,USA,2009.0,103,188,-85
DNK,GBR,2016.0,106,116,-10
JPN,NOR,2017.0,8,5,3
GBR,DNK,2011.0,87,56,31
ZAF,AUS,2004.0,27,22,5
USA,DEU,2008.0,1048,1248,-200
AUS,DEU,2009.0,121,154,-33
JPN,CAN,2004.0,100,82,18
CAN,JPN,2005.0,85,101,-16
NZL,USA,2013.0,131,121,10
ESP,MEX,2007.0,100,87,13
ESP,IRL,2022.0,33,34,-1
KAZ,USA,2002.0,2,1,1
PRT,CHN,2013.0,8,12,-4
CHE,NLD,2008.0,50,55,-5
USA,MEX,2005.0,215,193,22
TUR,USA,2009.0,222,248,-26
JPN,RUS,2007.0,25,23,2
DEU,IRN,2014.0,36,82,-46
BRA,FRA,2013.0,85,116,-31
ESP,CHL,2007.0,51,37,14
SWE,BEL,2018.0,29,33,-4
CAN,DEU,2018.0,178,185,-7
POL,USA,2013.0,92,102,-10
IND,USA,2006.0,722,458,264
CHL,USA,2015.0,121,150,-29
CHL,NLD,2022.0,17,9,8
JPN,IRN,2018.0,14,11,3
ESP,ARG,2011.0,97,94,3
SAU,EGY,2014.0,220,299,-79
USA,LBN,2011.0,49,52,-3
CHN,LBN,2018.0,1,1,0
DEU,TWN,2006.0,20,8,12
TWN,DEU,2007.0,10,14,-4
FRA,PER,2006.0,3,3,0
GBR,ESP,2001.0,187,174,13
IND,GBR,2007.0,156,106,50
ITA,IND,2016.0,50,46,4
USA,PAN,2010.0,22,18,4
BRA,CAN,2011.0,67,48,19
CZE,USA,2006.0,54,53,1
GUM,USA,1999.0,7,3,4
CHL,CAN,2004.0,8,6,2
AUS,CHE,2014.0,59,66,-7
SWE,USA,2002.0,343,235,108
AUT,HUN,2013.0,13,20,-7
USA,IRN,2009.0,66,125,-59
GBR,CHN,2014.0,409,310,99
SLV,SVN,2014.0,4,9,-5
ITA,CHN,2009.0,20,22,-2
DNK,ISR,2011.0,2,6,-4
ITA,CHE,2009.0,180,114,66
IND,SGP,2004.0,35,10,25
USA,KOR,2005.0,732,628,104
JPN,CHN,1999.0,153,165,-12
JPN,IND,2022.0,77,68,9
NZL,JPN,2005.0,6,3,3
GRC,GBR,2011.0,167,165,2
ESP,DEU,2010.0,154,161,-7
ISL,USA,2003.0,18,17,1
SGP,GBR,2008.0,61,72,-11
KOR,JPN,2013.0,120,152,-32
JPN,KOR,2014.0,177,115,62
EGY,USA,2006.0,44,95,-51
USA,HUN,2007.0,81,80,1
ESP,DNK,2021.0,45,35,10
IRL,GBR,2010.0,220,261,-41
USA,NOR,2009.0,85,90,-5
GRC,GBR,2021.0,188,198,-10
JPN,TWN,2008.0,40,24,16
TWN,JPN,2009.0,27,55,-28
NZL,CAN,2020.0,42,41,1
CAN,NZL,2022.0,22,24,-2
CHE,FRA,2013.0,250,339,-89
ESP,BRA,2009.0,70,89,-19
ZAF,ESP,2013.0,4,10,-6
GBR,DNK,2009.0,81,53,28
RUS,GBR,2003.0,72,69,3
DEU,IRN,2008.0,26,20,6
THA,USA,2021.0,131,213,-82
USA,GBR,2018.0,1886,2057,-171
IND,BGD,2012.0,17,9,8
BEL,GBR,2021.0,162,162,0
KOR,GBR,1999.0,15,19,-4
CHN,GBR,1999.0,78,73,5
JPN,TUR,2004.0,13,13,0
KOR,MNG,2013.0,4,1,3
GBR,THA,2010.0,58,33,25
TUR,FIN,2023.0,7,2,5
TUR,EGY,2011.0,1,3,-2
TZA,UGA,2012.0,4,2,2
ZAF,NLD,2007.0,17,9,8
ROU,CHE,2010.0,5,8,-3
GRC,BEL,2008.0,12,11,1
CAN,PAN,2011.0,4,1,3
IND,SGP,2001.0,16,11,5
AUS,AUT,2009.0,33,36,-3
AUS,CHE,2008.0,51,50,1
GBR,NLD,2007.0,163,199,-36
FRA,POL,2014.0,42,32,10
FRA,POL,2008.0,34,38,-4
FRA,DEU,2023.0,231,193,38
ESP,CHN,2014.0,26,31,-5
ARG,ESP,2006.0,82,69,13
CAN,HKG,2008.0,26,21,5
AUS,JPN,2003.0,48,65,-17
ITA,SMR,2015.0,5,4,1
AUS,CHL,2011.0,6,15,-9
USA,ESP,2003.0,374,355,19
GBR,UKR,2010.0,61,100,-39
FRA,PRT,2013.0,44,35,9
ESP,CHE,2005.0,36,30,6
IND,IDN,2007.0,5,5,0
ITA,BEL,2009.0,64,32,32
CAN,HKG,2004.0,20,27,-7
NLD,GBR,2004.0,146,148,-2
AUT,DEU,2016.0,382,350,32
KOR,FIN,2010.0,4,3,1
JPN,TWN,2004.0,22,11,11
SWE,GBR,2007.0,124,117,7
ZAF,AUS,2014.0,46,29,17
KOR,CAN,1998.0,10,17,-7
CAN,KOR,2001.0,18,29,-11
USA,SWE,2016.0,282,251,31
NGA,USA,2023.0,87,28,59
JPN,CHN,1998.0,133,141,-8
DEU,SAU,2013.0,27,4,23
KOR,CHN,2004.0,52,36,16
SWE,ESP,2010.0,32,40,-8
USA,NOR,2021.0,130,90,40
FRA,MAR,2004.0,63,63,0
CAN,AUS,2013.0,219,147,72
SVK,DEU,2013.0,11,12,-1
KOR,IND,2018.0,147,222,-75
FRA,BRA,2009.0,104,94,10
SGP,KOR,2009.0,17,17,0
USA,ITA,2023.0,271,295,-24
LTU,USA,2020.0,8,12,-4
FRA,CHE,2005.0,261,155,106
FRA,JPN,2003.0,69,79,-10
HRV,IRL,2017.0,5,1,4
DEU,SWE,2015.0,205,125,80
COL,BRA,2015.0,48,43,5
ESP,MEX,2020.0,184,179,5
JPN,DEU,2011.0,129,131,-2
ESP,NLD,2003.0,41,39,2
NPL,USA,2006.0,10,2,8
THA,NPL,2014.0,4,4,0
KOR,CHN,2008.0,73,92,-19
CHN,KOR,2011.0,83,186,-103
AUS,CHE,2015.0,72,72,0
PRT,IND,2014.0,21,17,4
FRA,MAR,2008.0,83,49,34
SWE,CAN,2000.0,39,29,10
JPN,RUS,1998.0,35,40,-5
IND,FRA,2010.0,93,42,51
IRN,FRA,2008.0,13,23,-10
IND,JPN,2006.0,75,72,3
JPN,LTU,2003.0,3,3,0
CHN,DNK,2012.0,38,32,6
ISR,CAN,2011.0,57,59,-2
AUT,FRA,2013.0,37,48,-11
GBR,SRB,2012.0,17,5,12
AUS,USA,2002.0,640,530,110
GBR,CHN,2004.0,114,117,-3
JPN,IDN,2010.0,88,26,62
ITA,USA,2008.0,558,418,140
BRA,GBR,2007.0,48,60,-12
CAN,GBR,2011.0,338,377,-39
FRA,MAR,2001.0,94,59,35
DZA,CAN,2013.0,5,5,0
DEU,HKG,2002.0,7,14,-7
PRT,USA,1999.0,32,32,0
BEL,GRC,2019.0,23,25,-2
CAN,JOR,2010.0,13,4,9
BEL,GBR,2009.0,86,100,-14
THA,NLD,2009.0,11,13,-2
KOR,DEU,2009.0,26,38,-12
AUS,PHL,2015.0,9,10,-1
CHN,SGP,2000.0,85,27,58
USA,ARE,2013.0,84,31,53
IND,IRN,2012.0,21,10,11
USA,THA,2021.0,213,131,82
GRC,ESP,2014.0,17,18,-1
NOR,BWA,2006.0,2,1,1
TWN,CHN,2010.0,160,176,-16
IND,DEU,2003.0,96,56,40
GBR,RUS,2016.0,50,64,-14
TUR,USA,2019.0,346,315,31
USA,BEL,2020.0,184,184,0
AUT,USA,2010.0,109,106,3
DEU,IND,2016.0,143,184,-41
JPN,HUN,2003.0,19,9,10
ISR,DEU,2012.0,40,37,3
CHN,GBR,2007.0,114,162,-48
RUS,DNK,2003.0,6,7,-1
PRT,ESP,2015.0,85,117,-32
NZL,ARE,2018.0,3,5,-2
ARG,AUS,2013.0,7,2,5
RUS,CAN,1999.0,46,18,28
USA,HRV,2012.0,19,22,-3
KOR,AUS,2006.0,17,20,-3
GBR,FRA,2002.0,403,399,4
DEU,CAN,2020.0,200,207,-7
FRA,IRL,2008.0,33,20,13
TWN,EGY,2007.0,2,1,1
RUS,USA,2021.0,198,143,55
RUS,IRL,2010.0,2,4,-2
HKG,IND,2006.0,2,5,-3
MDA,FRA,2000.0,5,3,2
FRA,MDA,2013.0,4,2,2
GRC,SWE,2012.0,15,10,5
SWE,FRA,2014.0,62,86,-24
GBR,SGP,2000.0,52,26,26
BRA,PRT,2018.0,164,155,9
CHN,TWN,2016.0,127,240,-113
FRA,CAN,2011.0,337,286,51
DNK,AUS,2007.0,20,19,1
FRA,CHE,2012.0,346,210,136
JPN,AUS,2007.0,62,36,26
AUS,CAN,2004.0,142,105,37
RUS,BRA,2019.0,8,8,0
ESP,FRA,2022.0,209,221,-12
DEU,KAZ,2020.0,7,4,3
USA,VNM,2007.0,9,4,5
USA,DOM,2016.0,4,5,-1
BRA,DEU,2023.0,103,35,68
FRA,SGP,2022.0,15,26,-11
POL,IRL,2010.0,8,4,4
CAN,DEU,2016.0,169,176,-7
HUN,ITA,1999.0,6,10,-4
NLD,NOR,2007.0,16,17,-1
NOR,NLD,2011.0,14,25,-11
FRA,MLI,2010.0,11,12,-1
GBR,HUN,2006.0,27,25,2
IND,CAN,2017.0,164,76,88
USA,EGY,2016.0,134,125,9
GBR,CZE,2010.0,68,37,31
USA,UGA,2012.0,32,19,13
IRN,JPN,2023.0,5,1,4
ECU,ESP,2009.0,6,3,3
FRA,BEL,2007.0,172,165,7
GRC,BEL,2014.0,27,9,18
LUX,GRC,2021.0,2,7,-5
FIN,USA,2011.0,82,63,19
RUS,ROU,1998.0,5,1,4
USA,ROU,2003.0,20,49,-29
USA,ROU,2013.0,26,23,3
GHA,GBR,2016.0,15,25,-10
AUS,GBR,2023.0,282,273,9
CHE,NLD,2004.0,36,47,-11
BRN,USA,2006.0,1,2,-1
QAT,USA,2020.0,60,43,17
ISR,NLD,2019.0,24,14,10
IDN,ITA,2011.0,2,6,-4
UKR,DEU,2021.0,43,14,29
AUT,TUR,2007.0,6,2,4
IND,BEL,2012.0,30,14,16
BEL,IND,2016.0,29,32,-3
BEL,IND,2018.0,23,32,-9
IND,TWN,2005.0,36,9,27
JPN,SWE,2006.0,22,34,-12
DEU,IND,2018.0,146,211,-65
PAK,OMN,2014.0,11,3,8
OMN,SAU,2015.0,5,6,-1
BEL,SWE,2015.0,27,17,10
GBR,NLD,1999.0,146,143,3
RUS,VNM,2013.0,10,5,5
ITA,NGA,2015.0,4,2,2
ZAF,GBR,2014.0,79,120,-41
DEU,NGA,2011.0,8,5,3
GBR,ZAF,2016.0,87,100,-13
UGA,KEN,2023.0,8,8,0
UKR,AUT,2008.0,7,2,5
CHE,ITA,2022.0,158,223,-65
BEL,NLD,2007.0,99,86,13
BEL,ROU,2018.0,3,4,-1
FIN,LUX,2012.0,2,2,0
CHE,USA,1999.0,395,335,60
ITA,MEX,2008.0,7,9,-2
USA,SVK,2014.0,18,17,1
CHN,HKG,2006.0,308,277,31
ESP,NLD,2013.0,100,66,34
VEN,GBR,2007.0,8,11,-3
ESP,BRA,2011.0,92,79,13
HKG,SGP,2003.0,18,21,-3
DEU,AUT,2000.0,165,195,-30
AUT,DEU,2018.0,313,394,-81
ARG,DEU,2012.0,41,26,15
DZA,FRA,2007.0,30,71,-41
USA,IND,2002.0,340,634,-294
CZE,FRA,2002.0,22,11,11
DEU,BFA,2004.0,1,2,-1
MLI,BFA,2018.0,2,4,-2
USA,SGP,2017.0,256,247,9
PAK,KOR,2008.0,4,3,1
MYS,PAK,2017.0,131,48,83
ZAF,ZMB,2018.0,21,7,14
FRA,DZA,2010.0,117,48,69
IND,ARE,2012.0,19,4,15
DNK,CHE,2012.0,24,20,4
JPN,CAN,2014.0,98,74,24
IND,NZL,2006.0,6,4,2
IDN,USA,2017.0,24,57,-33
GBR,CZE,2006.0,29,49,-20
GBR,COL,2008.0,16,11,5
DEU,ROU,2008.0,39,16,23
DEU,ESP,2009.0,168,144,24
RUS,USA,2009.0,195,187,8
CAN,PER,2006.0,2,1,1
HRV,SVN,2020.0,13,13,0
ITA,USA,2001.0,596,494,102
IRN,GBR,2011.0,35,57,-22
GBR,THA,2006.0,55,22,33
BRA,POL,2015.0,2,1,1
IRN,ARM,2010.0,5,1,4
ESP,FRA,2018.0,306,256,50
USA,DNK,2006.0,107,87,20
GBR,CYP,2002.0,8,2,6
DEU,ECU,2015.0,8,4,4
FRA,SVK,2010.0,3,6,-3
FRA,DNK,2011.0,32,22,10
IRL,CZE,2020.0,7,4,3
CZE,IRL,2023.0,4,4,0
CHN,MAC,2015.0,73,25,48
PAK,SAU,2015.0,91,32,59
GBR,GRC,2021.0,198,188,10
DEU,IRL,2016.0,45,42,3
CAN,SAU,2017.0,136,65,71
NLD,GBR,2001.0,205,181,24
ITA,GBR,2019.0,591,475,116
BEL,CAN,2012.0,33,29,4
IND,DEU,2013.0,139,126,13
MNE,SRB,2022.0,59,45,14
CAN,DNK,2008.0,25,19,6
