migrationfrom,migrationto,year,n_migrations,n_migrations_back,netmigrations
QA,SE,2003.0,2,4,-2
PK,US,2013.0,164,233,-69
TH,GB,2018.0,42,76,-34
DE,FR,2017.0,546,594,-48
KE,ZA,2012.0,10,15,-5
BE,ZA,2017.0,21,12,9
ZA,QA,2020.0,8,2,6
SY,US,2011.0,7,10,-3
KW,US,2006.0,18,21,-3
AT,SI,2012.0,19,12,7
VN,CN,2003.0,63,20,43
IT,CN,2007.0,41,19,22
GB,CH,2016.0,348,311,37
CN,nan,2008.0,203,226,-23
TH,CN,2012.0,21,18,3
HK,CN,2015.0,108,124,-16
AU,CN,2011.0,323,313,10
CN,TH,2009.0,11,12,-1
CZ,US,2016.0,110,184,-74
CN,IL,2004.0,20,16,4
CN,MY,2021.0,104,103,1
PK,CN,2004.0,47,29,18
CN,GB,2001.0,179,233,-54
RS,CN,2009.0,8,8,0
CN,UZ,2013.0,5,9,-4
CN,KR,2001.0,79,105,-26
MY,BD,2007.0,7,6,1
PH,CA,2009.0,9,10,-1
GB,SG,2004.0,60,44,16
CN,SG,2011.0,342,412,-70
MN,CN,2011.0,4,3,1
IR,ES,2018.0,31,18,13
TN,IQ,2017.0,5,2,3
IE,CA,2005.0,78,69,9
CO,DE,2021.0,30,28,2
US,RS,2019.0,66,58,8
NL,ID,2010.0,22,16,6
JP,MY,2013.0,98,41,57
FR,LB,2010.0,58,28,30
BG,UA,2003.0,6,6,0
TN,FR,2021.0,100,105,-5
GB,BG,2017.0,21,20,1
MX,CL,2020.0,206,199,7
RU,SE,2018.0,34,30,4
ES,BE,2018.0,127,95,32
SS,GB,2016.0,7,11,-4
ES,DK,2019.0,50,48,2
IE,ZA,2014.0,17,3,14
SK,US,2013.0,27,34,-7
NO,RU,2007.0,5,13,-8
AU,JP,2021.0,67,34,33
CH,SI,2019.0,8,13,-5
RU,UA,2004.0,83,91,-8
SA,IN,2017.0,85,176,-91
US,RS,2017.0,64,67,-3
MX,JP,2010.0,12,8,4
SE,CH,2015.0,83,71,12
JP,IT,2009.0,49,64,-15
AT,CH,2003.0,53,67,-14
GB,PT,2012.0,91,79,12
ES,ID,2018.0,12,20,-8
FR,EC,2018.0,21,8,13
SE,DK,2022.0,79,68,11
IN,IR,2020.0,37,17,20
CA,IE,2015.0,181,154,27
EG,JP,2009.0,55,71,-16
JP,RU,2002.0,39,50,-11
CA,PT,2013.0,25,20,5
NZ,SE,2014.0,9,8,1
AU,NZ,1998.0,53,57,-4
FI,PL,2017.0,10,6,4
NL,RO,2015.0,7,8,-1
HU,FI,2022.0,3,3,0
KW,SA,2009.0,8,4,4
FR,LB,2019.0,130,87,43
JP,TW,2000.0,54,34,20
BE,AT,2001.0,3,3,0
GB,RO,2011.0,27,29,-2
IR,QA,2022.0,4,4,0
TN,SA,2022.0,66,64,2
DE,SA,2012.0,35,13,22
RU,BY,2011.0,66,61,5
DK,BD,2019.0,3,1,2
GR,DE,2021.0,45,55,-10
IT,RO,2004.0,9,13,-4
KR,SA,2023.0,1,2,-1
IE,PK,2020.0,15,16,-1
US,RS,2010.0,43,53,-10
CN,BR,2022.0,12,17,-5
CH,NL,2000.0,26,30,-4
CL,DE,2009.0,34,38,-4
FR,AE,2020.0,16,7,9
JO,SD,2018.0,2,1,1
MY,NL,2019.0,16,11,5
FR,SN,2009.0,25,29,-4
FR,LB,2017.0,125,59,66
GB,CL,2012.0,38,31,7
SI,DE,2019.0,20,21,-1
FR,ID,2016.0,33,16,17
KR,VN,2012.0,45,26,19
ES,CH,2021.0,123,84,39
EG,SA,2009.0,138,71,67
PK,BD,2000.0,2,3,-1
LV,US,2019.0,14,5,9
ZA,KE,2002.0,3,6,-3
ES,PE,2006.0,29,22,7
IN,NO,2016.0,18,24,-6
CO,JP,2017.0,20,6,14
DE,KR,2022.0,42,35,7
HR,RS,2010.0,104,59,45
DK,AU,2021.0,47,42,5
CY,GR,2019.0,55,73,-18
ZM,JP,2018.0,3,2,1
PT,AR,2007.0,12,8,4
CH,SK,2004.0,13,8,5
CN,NP,2022.0,16,7,9
TR,CH,2017.0,24,19,5
DE,BG,2013.0,23,18,5
DE,BY,2018.0,9,4,5
HR,CZ,2014.0,11,4,7
BH,TW,2007.0,2,3,-1
AU,IR,2007.0,24,25,-1
PE,MX,2017.0,84,126,-42
NL,DK,2019.0,69,71,-2
CN,UA,2012.0,15,25,-10
SV,MX,2019.0,5,6,-1
SK,RU,2018.0,23,11,12
MX,IT,2014.0,32,39,-7
GB,SK,2001.0,15,38,-23
US,IS,1999.0,6,5,1
IS,SE,2015.0,15,25,-10
PA,MX,2011.0,5,4,1
SE,IT,2016.0,77,116,-39
CH,KR,2011.0,10,11,-1
OM,EG,2021.0,12,11,1
DE,GH,2015.0,10,1,9
ES,CZ,2002.0,1,3,-2
TN,IQ,2019.0,4,3,1
PT,DE,2018.0,59,46,13
ZA,IT,2020.0,20,19,1
VN,AU,2016.0,34,48,-14
BE,BI,2019.0,1,1,0
CA,BD,2020.0,46,47,-1
IT,HU,2020.0,13,7,6
FR,PL,2021.0,38,29,9
BD,ID,2020.0,61,54,7
PK,KR,2014.0,26,31,-5
NG,MY,2018.0,73,140,-67
AR,NL,2021.0,9,6,3
CN,NG,2022.0,30,35,-5
BD,FI,2017.0,7,5,2
LY,EG,2020.0,5,12,-7
SA,IN,2019.0,104,181,-77
CL,DK,2013.0,2,3,-1
PL,RU,2020.0,50,46,4
LV,BY,2020.0,1,1,0
FR,GA,2010.0,8,5,3
OM,QA,2014.0,5,1,4
PL,BR,2015.0,11,12,-1
IL,CN,2015.0,8,16,-8
CL,RS,2015.0,4,1,3
FR,KH,2017.0,8,10,-2
SG,US,1998.0,92,83,9
BE,CA,1998.0,19,18,1
CN,KZ,2012.0,13,11,2
FR,HR,2018.0,11,4,7
TR,CN,2018.0,39,17,22
NL,nan,2001.0,27,23,4
CL,JP,2020.0,8,8,0
AT,CA,2015.0,31,32,-1
NL,DE,2007.0,206,264,-58
EE,DE,2021.0,31,39,-8
US,RW,2017.0,14,14,0
GB,MX,2018.0,58,65,-7
EC,nan,2019.0,11,3,8
RU,FR,2020.0,80,120,-40
BH,EG,2017.0,9,6,3
PE,CR,2011.0,2,5,-3
PS,DE,2019.0,2,8,-6
NO,CA,2023.0,2,2,0
SA,GB,2021.0,99,159,-60
HU,IR,2020.0,2,13,-11
LY,IR,2022.0,1,5,-4
PL,US,1999.0,111,114,-3
KR,NZ,2022.0,9,8,1
MX,GB,2022.0,41,21,20
PL,UA,2015.0,19,40,-21
BD,AU,2022.0,60,33,27
BD,CA,2021.0,41,26,15
AU,SG,2009.0,74,79,-5
IE,DK,2018.0,14,7,7
IR,IQ,2016.0,10,4,6
BE,KR,2020.0,12,16,-4
GR,MK,2018.0,7,8,-1
NL,ID,2017.0,44,33,11
BE,RU,2005.0,12,11,1
LU,IR,2022.0,1,2,-1
MY,YE,2014.0,10,7,3
PH,FR,2016.0,8,9,-1
PT,UA,2018.0,4,2,2
NP,PH,2019.0,2,8,-6
CA,RO,2018.0,15,11,4
UG,PK,2015.0,2,1,1
FR,KR,2003.0,19,9,10
BD,FI,2019.0,6,2,4
UG,KE,2012.0,4,5,-1
NL,AU,2007.0,56,62,-6
IE,SA,2020.0,20,4,16
CN,IE,2020.0,36,36,0
AR,PK,2018.0,4,5,-1
MZ,RU,2014.0,12,6,6
TR,AU,2013.0,5,9,-4
MY,NL,2017.0,13,13,0
SK,CZ,2006.0,47,30,17
IE,PT,2021.0,8,4,4
IT,CA,2011.0,80,80,0
ID,MY,2020.0,223,395,-172
NL,ID,2019.0,50,45,5
FR,SI,2021.0,6,12,-6
JP,MA,2005.0,3,1,2
IR,VN,2019.0,13,2,11
MA,FR,2021.0,138,168,-30
FR,TG,2018.0,16,3,13
GB,TW,2016.0,46,57,-11
RU,IL,2015.0,27,43,-16
RO,ES,2020.0,19,25,-6
HU,PH,2016.0,1,1,0
MY,NL,2010.0,5,3,2
GB,SA,2009.0,56,27,29
SD,US,2007.0,6,4,2
TG,FR,2021.0,4,2,2
CH,NO,2018.0,31,20,11
BO,ES,2020.0,26,19,7
IE,CA,2002.0,38,54,-16
CH,GR,2018.0,36,36,0
IT,TH,2006.0,3,2,1
TN,CA,2013.0,10,8,2
MA,TN,2016.0,34,44,-10
BR,SG,2007.0,4,1,3
RU,IN,2011.0,13,5,8
NL,TR,2009.0,15,26,-11
PL,FI,2010.0,7,8,-1
BE,nan,2009.0,17,21,-4
JP,CA,2004.0,125,101,24
CO,GB,2013.0,27,24,3
TR,RS,2003.0,33,35,-2
HU,DE,2009.0,57,46,11
DE,HU,2013.0,50,65,-15
ES,CZ,2005.0,4,6,-2
IN,PH,2008.0,6,5,1
ID,IN,2006.0,1,2,-1
AT,ES,2012.0,24,23,1
AT,CZ,2015.0,27,21,6
SA,IN,2010.0,22,57,-35
PE,GB,2017.0,10,10,0
FR,KH,2019.0,11,10,1
US,DZ,2008.0,8,5,3
JP,RU,2005.0,42,22,20
JP,KR,1998.0,124,68,56
TR,CH,2019.0,36,27,9
GR,RU,2005.0,3,1,2
NL,DK,2010.0,35,32,3
EG,GR,2016.0,2,4,-2
ID,RU,2019.0,30,27,3
BH,EG,2019.0,9,6,3
MY,UA,2015.0,11,3,8
IL,DE,2014.0,59,75,-16
CO,nan,2017.0,20,7,13
HN,MX,2014.0,25,11,14
DE,DK,2003.0,66,63,3
RS,SI,2015.0,24,19,5
FR,NE,2021.0,16,23,-7
nan,GB,2004.0,56,60,-4
SV,MX,2010.0,3,3,0
IQ,PK,2021.0,35,27,8
PL,SK,2020.0,12,11,1
PL,VN,2007.0,2,1,1
BE,MY,2015.0,7,2,5
AE,PK,2015.0,19,11,8
KE,TZ,2015.0,11,4,7
nan,ID,2014.0,24,23,1
US,UG,2007.0,15,14,1
CA,TR,2018.0,24,35,-11
US,PT,2023.0,11,8,3
CY,GB,2014.0,26,49,-23
US,MU,2020.0,1,2,-1
GB,PH,2013.0,18,17,1
EC,nan,2017.0,6,5,1
BW,ZA,2011.0,8,6,2
PT,DK,2019.0,13,11,2
ES,IN,2020.0,34,22,12
FI,JP,2004.0,11,9,2
ZM,US,2013.0,14,8,6
PL,IL,2009.0,3,6,-3
AT,NO,2021.0,15,11,4
GR,FR,2013.0,63,27,36
LV,US,2017.0,12,6,6
IN,BN,2020.0,3,2,1
EG,NG,2017.0,9,5,4
CM,US,2014.0,9,18,-9
US,ZM,2015.0,24,16,8
ES,SK,2020.0,4,2,2
AT,JP,2022.0,10,4,6
US,ML,2006.0,4,3,1
FR,BI,2014.0,19,22,-3
MY,KR,2016.0,36,31,5
SK,SI,2022.0,5,2,3
PT,CA,2001.0,6,6,0
VE,MX,1998.0,11,10,1
US,VE,2000.0,29,21,8
BE,ES,1999.0,18,15,3
DK,BE,2022.0,39,38,1
TR,CA,2015.0,20,29,-9
SI,DE,2017.0,23,14,9
US,NI,2012.0,3,5,-2
IN,TR,2004.0,6,2,4
CO,JP,2019.0,11,12,-1
BW,AU,2016.0,4,4,0
CL,BR,1998.0,12,9,3
NL,PT,2007.0,19,6,13
FR,MC,2003.0,4,6,-2
GB,BG,2019.0,15,22,-7
FI,LT,2003.0,1,3,-2
CN,EG,2013.0,17,13,4
BE,BJ,2018.0,5,4,1
ZM,AU,2017.0,2,2,0
ET,NL,2017.0,8,8,0
US,KH,2015.0,7,10,-3
DE,JO,2020.0,12,8,4
CH,US,2023.0,28,31,-3
FJ,NL,2020.0,2,1,1
IN,AT,2018.0,17,14,3
ZA,FI,2018.0,5,7,-2
CN,NO,2015.0,32,48,-16
JP,BG,2001.0,6,4,2
BE,EC,2022.0,4,3,1
NL,PH,2020.0,9,4,5
PK,TZ,2021.0,4,1,3
IT,PL,2006.0,13,17,-4
VN,TW,2019.0,19,52,-33
EC,BO,2019.0,3,3,0
IR,TN,2020.0,8,10,-2
DE,PK,2022.0,21,24,-3
KE,NL,2021.0,10,7,3
MX,SA,2019.0,2,2,0
DK,GH,2008.0,2,2,0
UA,PL,2011.0,18,16,2
MX,DK,2018.0,7,2,5
CI,NG,2015.0,1,2,-1
DE,OM,2008.0,2,3,-1
MY,IT,2015.0,46,55,-9
UY,ES,2007.0,20,30,-10
TH,MY,2015.0,5,8,-3
CM,FR,2016.0,20,30,-10
CA,GR,2014.0,13,15,-2
nan,IL,2018.0,27,24,3
SA,ZA,2015.0,5,7,-2
CZ,BE,2003.0,3,2,1
US,CU,2013.0,23,28,-5
PE,MX,2010.0,37,46,-9
DK,IN,2018.0,16,26,-10
AE,BE,2020.0,2,4,-2
IL,KR,2019.0,9,5,4
NL,KW,2021.0,1,1,0
RO,CN,2007.0,3,3,0
QA,AU,2022.0,6,5,1
NG,BR,2014.0,2,3,-1
AR,DE,2006.0,25,17,8
HR,DE,2004.0,15,14,1
RU,BR,2008.0,11,8,3
ZA,IN,2006.0,17,16,1
RO,RU,2010.0,2,8,-6
IN,ID,2012.0,9,5,4
JP,IR,2012.0,23,9,14
ZW,ZA,2011.0,23,7,16
JP,SI,2006.0,3,5,-2
DE,LT,2020.0,6,10,-4
MX,CA,2003.0,17,11,6
IL,IN,2016.0,33,99,-66
ZA,ZW,2011.0,7,23,-16
JP,CL,2011.0,5,8,-3
LU,IE,2016.0,3,1,2
RU,SK,1999.0,4,5,-1
US,AM,2004.0,8,9,-1
GB,CZ,2000.0,10,13,-3
GH,IN,2008.0,4,1,3
IT,LT,2005.0,2,1,1
UA,CZ,2015.0,21,21,0
MK,CN,2003.0,3,5,-2
ZA,KE,2005.0,7,6,1
PT,GB,1997.0,15,17,-2
GB,LU,2006.0,5,5,0
OM,PK,2016.0,8,13,-5
RO,FR,2016.0,62,48,14
GB,UG,2014.0,14,11,3
BG,RU,2011.0,20,20,0
IT,MA,2006.0,11,1,10
GB,GH,2005.0,13,3,10
DE,AR,2005.0,18,21,-3
MA,DZ,2014.0,15,13,2
ES,BG,2016.0,11,3,8
GH,nan,2014.0,3,1,2
NP,PH,2017.0,4,4,0
AT,TR,2006.0,8,5,3
BE,MZ,2013.0,7,2,5
DE,EG,2000.0,10,5,5
ES,AU,2002.0,14,10,4
KR,RU,2006.0,14,9,5
JP,NO,2012.0,10,9,1
HU,SE,2021.0,12,6,6
EG,AT,2019.0,4,7,-3
MX,SI,2021.0,17,6,11
BR,DK,2004.0,4,6,-2
BG,AU,2021.0,2,1,1
IN,RS,2016.0,1,2,-1
RO,GB,2003.0,13,3,10
CY,GR,2017.0,29,73,-44
DK,RO,2013.0,3,2,1
BE,AU,2012.0,44,27,17
CO,JP,2010.0,7,9,-2
BE,HU,2000.0,6,4,2
IN,SD,2020.0,1,1,0
PL,AT,2001.0,8,1,7
MU,AU,2011.0,3,1,2
CA,LB,2003.0,6,4,2
GE,DE,2007.0,6,2,4
DK,NL,2002.0,15,20,-5
AU,BE,2003.0,18,21,-3
PH,IL,2012.0,3,2,1
US,JO,2009.0,44,24,20
VN,FR,2022.0,22,26,-4
BE,IE,2015.0,13,11,2
IT,KZ,2017.0,6,3,3
AE,KW,2020.0,2,4,-2
CA,MX,1998.0,10,10,0
NA,ZA,2009.0,1,2,-1
LT,RU,2013.0,6,15,-9
RU,HU,2022.0,19,8,11
PH,TH,2008.0,1,1,0
RU,NL,2011.0,25,22,3
CA,KR,1997.0,10,5,5
EG,MA,2011.0,3,3,0
CN,IN,1998.0,8,11,-3
PE,GB,2010.0,10,9,1
PT,ZA,2021.0,9,2,7
IN,MY,2006.0,26,16,10
BE,IN,2012.0,21,36,-15
IE,JP,2001.0,20,26,-6
AT,NZ,2015.0,10,5,5
CN,GE,2009.0,4,1,3
TH,FI,2006.0,3,1,2
nan,TW,2009.0,6,9,-3
IS,ES,2017.0,5,13,-8
AO,BR,2008.0,13,14,-1
BR,PL,2011.0,3,10,-7
GB,BG,2010.0,7,13,-6
ES,EC,2010.0,17,28,-11
PT,IT,2000.0,4,7,-3
TW,GB,2000.0,22,28,-6
JP,RO,2000.0,3,4,-1
IN,UG,2012.0,1,2,-1
SS,AU,2006.0,1,1,0
NZ,FJ,2000.0,1,1,0
FR,IL,2006.0,27,27,0
NZ,BR,2014.0,13,9,4
NO,JP,2018.0,7,11,-4
TR,KG,2018.0,3,1,2
SE,HU,2001.0,8,11,-3
DK,MY,2018.0,7,8,-1
EE,SE,2012.0,5,4,1
TR,JP,2015.0,16,27,-11
KR,ES,2009.0,7,3,4
TH,SG,2009.0,2,2,0
JP,SA,2003.0,3,2,1
GB,TH,2008.0,43,24,19
JO,US,2004.0,12,25,-13
NO,HU,2017.0,7,6,1
NO,HU,2019.0,4,4,0
SG,NL,2023.0,2,1,1
MX,PT,2012.0,20,14,6
CR,MX,2013.0,18,24,-6
SN,CH,2014.0,2,1,1
DK,KR,1997.0,2,1,1
BF,CH,2003.0,1,1,0
IR,PL,2022.0,11,7,4
PK,KW,2010.0,2,5,-3
ZA,NA,2021.0,14,5,9
IE,HR,2011.0,10,4,6
BY,DE,2001.0,9,4,5
PK,NZ,2013.0,4,9,-5
BG,SE,2008.0,2,2,0
PT,TW,2004.0,1,1,0
CN,CO,2005.0,1,3,-2
NL,BG,2012.0,6,1,5
GR,CN,2015.0,18,11,7
BE,ZA,2019.0,22,30,-8
NA,ZW,2020.0,1,1,0
VN,DK,2011.0,4,3,1
OM,NZ,2015.0,3,1,2
KW,EG,2006.0,7,6,1
FI,ES,2015.0,18,28,-10
SG,ID,2013.0,9,4,5
BE,BI,2017.0,1,1,0
DE,NG,2021.0,14,14,0
AM,JP,1998.0,21,1,20
FI,BR,2018.0,7,12,-5
IT,KZ,2019.0,3,2,1
EE,FI,2013.0,9,11,-2
CH,LK,2012.0,6,5,1
AZ,RU,2008.0,6,10,-4
MM,US,2021.0,15,12,3
LY,US,2017.0,3,5,-2
AU,GR,2008.0,9,4,5
YE,CA,2018.0,1,1,0
RS,IT,2018.0,10,6,4
CL,GB,2011.0,26,33,-7
BE,RO,2006.0,8,2,6
VN,MX,2013.0,5,5,0
TR,CH,2010.0,17,8,9
VN,TW,2010.0,5,5,0
IT,DZ,2021.0,28,27,1
PL,FI,2019.0,11,9,2
NP,PK,2018.0,6,5,1
ZA,EG,2016.0,6,4,2
VN,TW,2017.0,15,30,-15
CZ,CL,2016.0,1,4,-3
CN,EE,2016.0,1,3,-2
KR,NP,2015.0,9,8,1
MY,QA,2016.0,12,1,11
VN,JP,2012.0,22,50,-28
IQ,BD,2022.0,9,2,7
NL,ES,2004.0,41,46,-5
SI,CH,2022.0,5,2,3
RO,RU,2019.0,8,12,-4
LB,BE,2015.0,6,5,1
RO,DE,1999.0,10,5,5
LB,DE,2019.0,7,6,1
SY,NL,2009.0,1,1,0
IN,ML,2012.0,3,8,-5
PE,CU,2013.0,7,11,-4
CZ,TW,2008.0,1,3,-2
GW,DK,2011.0,1,3,-2
SA,JO,2008.0,8,11,-3
CN,PT,1999.0,8,5,3
US,MW,2011.0,15,5,10
IT,UA,2008.0,18,15,3
UG,DE,2013.0,2,3,-1
IL,FI,2022.0,1,5,-4
DK,JP,2004.0,10,6,4
KE,PE,2019.0,2,2,0
LU,SN,2015.0,1,1,0
FR,CG,2018.0,17,20,-3
BR,VE,2000.0,5,6,-1
NO,AT,2008.0,5,9,-4
BE,NZ,2010.0,4,5,-1
MA,BD,2021.0,18,17,1
BF,FR,2013.0,15,15,0
RS,RU,2013.0,4,5,-1
AL,DE,2003.0,1,2,-1
CY,GR,2010.0,15,31,-16
US,ZW,2018.0,7,8,-1
FR,KH,2010.0,7,6,1
UA,SK,2005.0,2,3,-1
CH,nan,2012.0,11,17,-6
ZA,LK,2010.0,1,1,0
DK,HU,2014.0,2,3,-1
NZ,IT,2019.0,8,9,-1
DE,SI,2006.0,3,5,-2
BE,KE,2002.0,4,4,0
SI,DE,2010.0,10,12,-2
CA,IS,1999.0,1,3,-2
ZA,NG,2006.0,3,11,-8
US,RW,2010.0,6,8,-2
PL,CH,2005.0,12,17,-5
MX,RO,2021.0,2,1,1
CH,IR,2007.0,6,8,-2
NO,IS,2018.0,8,14,-6
OM,JP,2018.0,1,2,-1
KE,BE,2015.0,4,6,-2
ZA,PL,2020.0,7,4,3
HR,US,2011.0,42,44,-2
RE,FR,2007.0,12,18,-6
BE,JP,2003.0,17,25,-8
nan,RU,2021.0,37,44,-7
AM,JP,1997.0,9,5,4
IT,AE,2013.0,2,2,0
IS,NO,2010.0,9,9,0
EG,AT,2010.0,5,3,2
ZA,NO,2020.0,7,6,1
SE,RU,2008.0,13,38,-25
JP,PK,2007.0,18,12,6
KR,LB,2019.0,1,1,0
LV,US,2010.0,9,6,3
SN,ZA,2019.0,2,2,0
RO,NL,2011.0,7,7,0
LI,DE,2010.0,6,2,4
NC,US,2003.0,1,1,0
BE,CA,1997.0,17,19,-2
SK,DE,2022.0,25,11,14
RU,AR,2021.0,2,2,0
VE,AR,2006.0,13,10,3
IN,SK,2017.0,4,2,2
ID,ES,2008.0,9,10,-1
KR,AT,2010.0,2,8,-6
CH,SA,2020.0,8,9,-1
ID,NO,2015.0,4,6,-2
MY,AU,2003.0,9,9,0
ME,RS,2002.0,2,1,1
SK,PL,2012.0,7,5,2
CA,CY,2019.0,4,4,0
AU,QA,2009.0,8,8,0
CZ,HU,2008.0,1,4,-3
SG,SE,2023.0,1,1,0
US,GP,2006.0,1,1,0
DZ,ES,2007.0,3,1,2
TW,nan,2012.0,6,4,2
HU,IT,2016.0,8,11,-3
AR,AT,2006.0,3,3,0
IR,GB,2004.0,21,60,-39
IQ,BH,2017.0,1,6,-5
BD,IN,2004.0,5,5,0
PT,CU,2013.0,2,2,0
BF,BE,2009.0,2,4,-2
OM,DE,2020.0,2,3,-1
ID,NL,2015.0,18,37,-19
MX,RU,2008.0,7,6,1
PT,AT,2013.0,3,7,-4
KR,ZA,2013.0,1,1,0
CA,NL,2003.0,33,54,-21
CN,SI,2002.0,1,1,0
CZ,DK,2001.0,2,3,-1
ID,AZ,2013.0,7,8,-1
NO,NL,2001.0,4,10,-6
ES,BO,2012.0,12,11,1
PK,IN,2000.0,10,17,-7
SI,AT,2000.0,3,3,0
ZA,DK,2005.0,5,5,0
NG,BE,2017.0,2,2,0
CR,CL,2000.0,3,4,-1
CO,nan,2019.0,12,9,3
NL,SG,2001.0,5,1,4
AU,TW,2009.0,30,24,6
CI,GB,2019.0,3,1,2
ES,GR,2018.0,22,16,6
KR,PL,2013.0,8,2,6
GR,ES,2021.0,10,13,-3
NZ,DE,2000.0,19,7,12
AU,CO,2009.0,6,2,4
CA,JO,2016.0,10,12,-2
CA,HR,2011.0,2,1,1
ZA,LS,2014.0,2,2,0
JO,GB,2001.0,4,9,-5
AR,TR,2014.0,5,2,3
FR,GA,2019.0,17,4,13
TT,US,2013.0,12,8,4
TH,MX,2019.0,2,1,1
IL,PS,2022.0,5,4,1
