migrationfrom,migrationto,year,n_migrations,n_migrations_back,netmigrations
VEN,ITA,2018.0,5,1,4
NLD,JPN,2016.0,26,16,10
CAN,IRN,2022.0,26,163,-137
USA,SVN,2017.0,13,8,5
DEU,KEN,2020.0,11,11,0
NZL,AUS,2015.0,169,97,72
BEL,BRA,2015.0,25,19,6
USA,BHR,2016.0,4,2,2
GBR,CYP,2020.0,53,15,38
IND,ZAF,2016.0,75,29,46
FRA,CHN,2016.0,195,142,53
CHE,JPN,2008.0,20,38,-18
FRA,ESP,2005.0,107,115,-8
GBR,NOR,2014.0,71,40,31
PRT,COL,2021.0,2,3,-1
TWN,SGP,2011.0,15,11,4
JPN,KOR,1998.0,28,18,10
FRA,DEU,2019.0,389,312,77
BRA,DEU,2016.0,98,96,2
ESP,COL,2016.0,83,50,33
BRA,RUS,2019.0,10,6,4
RUS,DEU,2017.0,104,77,27
IRL,CHN,2014.0,17,14,3
IND,DNK,2011.0,11,11,0
USA,NZL,2002.0,96,113,-17
GBR,SGP,2021.0,83,77,6
MYS,IND,2016.0,33,73,-40
GBR,SVK,2017.0,4,4,0
USA,FRA,2021.0,424,552,-128
DEU,DNK,2016.0,138,89,49
NLD,SAU,2015.0,4,2,2
DNK,HUN,2021.0,4,6,-2
BEL,NLD,1998.0,15,21,-6
SWE,IRQ,2020.0,2,3,-1
MUS,GBR,2013.0,1,1,0
JPN,FRA,2009.0,93,82,11
COL,ESP,2003.0,17,15,2
COL,MEX,2019.0,52,46,6
IND,FRA,2021.0,66,47,19
PRT,ITA,2017.0,25,34,-9
DEU,ESP,2016.0,163,259,-96
CIV,FRA,1999.0,2,1,1
IDN,KOR,2017.0,14,30,-16
PAK,MYS,2015.0,44,60,-16
ESP,SAU,2019.0,15,3,12
HUN,NLD,2021.0,8,8,0
MEX,BRA,2015.0,20,13,7
SWE,NLD,2022.0,23,23,0
KOR,SWE,2016.0,11,6,5
IRL,ESP,2018.0,34,46,-12
FRA,NCL,2005.0,13,8,5
NOR,CHN,2017.0,25,14,11
KOR,DEU,2018.0,76,53,23
SGP,USA,2021.0,152,121,31
ITA,ESP,2019.0,212,186,26
HUN,SVK,2015.0,7,2,5
AUS,KOR,2006.0,17,18,-1
NAM,ZAF,2020.0,7,14,-7
NLD,NZL,2017.0,21,8,13
ITA,NLD,2014.0,108,52,56
PHL,USA,2021.0,23,11,12
ISR,CHN,2018.0,21,29,-8
SWE,KOR,2010.0,3,3,0
USA,AUT,2021.0,82,72,10
GBR,HUN,2018.0,32,47,-15
NZL,ARE,2021.0,5,3,2
CHE,GTM,2022.0,1,1,0
CHN,ESP,2022.0,28,36,-8
SRB,RUS,2016.0,4,2,2
REU,FRA,2021.0,10,5,5
IND,BEL,2020.0,40,19,21
SWE,ISL,2019.0,20,13,7
ISR,MEX,2020.0,3,4,-1
ESP,DNK,2022.0,20,7,13
MYS,JOR,2018.0,25,5,20
CAN,TGO,2018.0,2,1,1
JPN,IDN,2011.0,76,23,53
BEL,FIN,2018.0,10,15,-5
FRA,GUF,2020.0,22,13,9
TUR,GBR,2021.0,56,43,13
ITA,POL,2018.0,32,25,7
PRT,MOZ,2020.0,4,5,-1
PAK,KOR,2013.0,20,14,6
AUS,IND,2022.0,32,48,-16
IDN,NLD,2020.0,20,47,-27
GBR,CHN,2005.0,106,101,5
MAR,FRA,2021.0,39,49,-10
DNK,JPN,2019.0,10,12,-2
COL,BRA,2020.0,36,73,-37
PAK,SAU,2014.0,63,23,40
CYP,GBR,2020.0,15,53,-38
COL,MEX,2010.0,11,13,-2
SVN,HRV,2019.0,7,12,-5
GBR,CHN,2002.0,71,98,-27
CMR,USA,2018.0,5,11,-6
GRC,GBR,2022.0,51,73,-22
CAN,KWT,2020.0,11,4,7
CHN,NOR,2021.0,19,28,-9
KAZ,RUS,2017.0,33,27,6
IND,CAN,2021.0,116,64,52
USA,BGD,2021.0,45,80,-35
NLD,NZL,2019.0,15,7,8
JOR,ARE,2021.0,18,12,6
FRA,FIN,2020.0,26,16,10
CAN,IND,2006.0,36,58,-22
GBR,RUS,2009.0,27,42,-15
CHN,MMR,2021.0,5,4,1
VNM,GBR,2020.0,12,22,-10
IRL,CAN,2018.0,48,34,14
IDN,KOR,2010.0,3,5,-2
RUS,ITA,2019.0,13,20,-7
FIN,DEU,2021.0,39,37,2
FRA,PER,2017.0,8,3,5
MOZ,BRA,2022.0,2,5,-3
DEU,GHA,2011.0,7,4,3
NGA,IND,2011.0,3,6,-3
DEU,ROU,2013.0,18,25,-7
GRC,USA,2011.0,108,88,20
NOR,IND,2015.0,8,11,-3
AUS,CHE,2013.0,40,52,-12
CAN,KEN,2015.0,7,10,-3
MYS,BEL,2019.0,5,4,1
JPN,BGD,2003.0,19,19,0
BWA,ZAF,2011.0,8,7,1
SGP,CHE,2018.0,17,16,1
USA,FIN,2007.0,44,57,-13
SWE,ISL,2017.0,14,8,6
POL,AUT,2010.0,10,10,0
NLD,AUS,2012.0,69,41,28
VEN,USA,2020.0,20,5,15
CAN,CHE,2013.0,86,66,20
NLD,ISR,2015.0,11,5,6
CAN,RUS,2015.0,19,12,7
DNK,CAN,2004.0,19,11,8
JPN,EGY,2022.0,16,12,4
GBR,NZL,2003.0,112,78,34
CHE,CHN,2015.0,34,37,-3
VNM,FRA,2014.0,13,46,-33
IRN,MYS,2011.0,45,57,-12
HKG,RUS,2017.0,2,1,1
NGA,CAN,2017.0,7,3,4
CHE,BRA,2004.0,6,6,0
IND,AUT,2016.0,11,8,3
ECU,MEX,2016.0,2,3,-1
FRA,ESP,2002.0,136,123,13
IRL,SWE,2009.0,8,14,-6
FRA,PYF,2021.0,10,11,-1
NLD,NOR,2005.0,12,6,6
CAN,CHL,2006.0,13,10,3
CUB,DEU,2002.0,4,1,3
ZAF,CAN,2014.0,18,21,-3
NLD,RUS,2014.0,11,15,-4
DNK,USA,2003.0,106,87,19
CHE,AUT,2001.0,14,14,0
ITA,JOR,2019.0,6,2,4
USA,URY,1999.0,1,3,-2
GBR,BRB,2017.0,1,2,-1
POL,AUT,2019.0,11,8,3
SGP,PAK,2013.0,1,2,-1
IRN,CHN,2018.0,35,11,24
CHN,NPL,2020.0,25,14,11
ARE,NZL,2019.0,1,5,-4
FRA,EGY,2021.0,16,7,9
GBR,ARG,2015.0,11,14,-3
GMB,GBR,2022.0,6,3,3
THA,JPN,2021.0,35,77,-42
GBR,BRB,2019.0,3,1,2
KAZ,RUS,2019.0,22,44,-22
KEN,USA,2017.0,40,75,-35
PER,USA,2021.0,34,19,15
ARG,MEX,2018.0,12,32,-20
UKR,RUS,2014.0,116,39,77
CHN,NZL,2007.0,6,5,1
USA,IRN,2022.0,43,169,-126
USA,CYP,2005.0,20,3,17
HUN,ISR,2012.0,4,2,2
GBR,VNM,2021.0,10,11,-1
DZA,DEU,2018.0,6,2,4
TWN,CAN,2012.0,18,12,6
ETH,CHE,2016.0,5,2,3
NLD,ZAF,2019.0,27,24,3
IND,PRT,2011.0,21,7,14
CHN,IRN,2021.0,22,42,-20
HND,USA,2021.0,3,5,-2
FRA,IRN,2021.0,11,26,-15
HUN,DNK,1999.0,1,1,0
BEL,MAR,2021.0,5,2,3
TWN,HKG,2003.0,4,7,-3
KOR,IDN,2022.0,8,9,-1
ESP,EGY,2020.0,11,4,7
CAN,MEX,2022.0,10,28,-18
GBR,BGR,2019.0,4,5,-1
NGA,CAN,2019.0,21,7,14
AUT,ESP,2019.0,28,30,-2
GBR,CAN,1999.0,92,100,-8
SWE,JPN,2012.0,17,22,-5
AUT,JPN,2001.0,5,8,-3
ROU,BGR,2020.0,1,1,0
USA,HKG,1999.0,54,33,21
PAK,KEN,2022.0,8,1,7
GBR,UKR,2006.0,12,13,-1
ZAF,ITA,2014.0,3,11,-8
ARG,IND,2021.0,2,1,1
USA,ALB,2016.0,4,1,3
THA,AUS,2006.0,11,29,-18
CAN,POL,2011.0,32,11,21
BRA,PER,2008.0,7,1,6
SVN,DEU,2008.0,2,5,-3
GBR,MYS,2003.0,40,12,28
JPN,NGA,2005.0,2,2,0
ESP,ROU,2005.0,4,2,2
NGA,SAU,2011.0,3,1,2
POL,ESP,2009.0,17,11,6
SRB,USA,2006.0,9,15,-6
DNK,IRQ,2018.0,1,1,0
AUS,THA,2004.0,19,7,12
FIN,IRN,2009.0,2,1,1
FRA,THA,2012.0,14,10,4
DEU,POL,2003.0,51,59,-8
NGA,CAN,2010.0,6,2,4
GBR,GHA,2009.0,10,6,4
SRB,AUS,2003.0,1,1,0
FRA,UKR,2003.0,9,14,-5
SRB,MNE,2015.0,3,3,0
USA,ZAF,2005.0,68,55,13
FRA,PRT,2001.0,9,26,-17
ZAF,CHE,2003.0,4,3,1
ISR,PSE,2018.0,11,10,1
CZE,AUT,2020.0,14,11,3
AUS,ITA,2002.0,15,14,1
ITA,CAN,2002.0,35,31,4
CHE,BGR,2010.0,6,4,2
FRA,LAO,2013.0,4,6,-2
GBR,EST,2004.0,2,1,1
BGR,HUN,2005.0,1,2,-1
SAU,ARE,2005.0,7,1,6
NLD,ZAF,2010.0,14,15,-1
DNK,NLD,2000.0,5,13,-8
CAN,SGP,2013.0,22,19,3
CHE,MAR,2001.0,2,1,1
MEX,GBR,2002.0,14,36,-22
DNK,FIN,2021.0,13,13,0
TUR,ISR,2002.0,2,2,0
SRB,HRV,2004.0,4,4,0
NLD,FIN,2004.0,7,8,-1
USA,NZL,2005.0,104,83,21
NLD,NOR,2002.0,15,8,7
NLD,ZAF,2017.0,34,18,16
POL,ISR,2013.0,6,10,-4
FRA,IRL,2020.0,28,34,-6
HUN,DEU,2011.0,42,22,20
CUB,DEU,2005.0,4,2,2
ROU,FRA,2004.0,19,22,-3
ZAF,DEU,2004.0,13,9,4
IDN,USA,2000.0,3,5,-2
IRL,ROU,2011.0,1,2,-1
BEL,FRA,1999.0,49,44,5
AUS,JPN,2008.0,38,53,-15
HUN,ESP,2011.0,2,3,-1
POL,UKR,2009.0,10,12,-2
SVN,SVK,2004.0,4,5,-1
RUS,ITA,2010.0,19,11,8
GBR,MEX,1999.0,18,3,15
TUR,AZE,2018.0,9,2,7
LVA,USA,2001.0,1,3,-2
DEU,ARG,2006.0,17,30,-13
BEL,CHE,2000.0,11,3,8
KOR,CAN,1999.0,10,4,6
PHL,GBR,2019.0,6,3,3
SWE,PRT,2005.0,8,5,3
ZAF,AUS,2001.0,17,5,12
CHE,ISR,2003.0,5,19,-14
BEL,SWE,2005.0,6,7,-1
DEU,BGR,2010.0,11,15,-4
AUS,ITA,2005.0,23,17,6
JPN,KOR,1997.0,9,8,1
MYS,CAN,2001.0,4,1,3
BEL,SWE,2002.0,11,10,1
SWE,BRA,2004.0,9,2,7
DEU,JOR,2004.0,6,4,2
TWN,BLR,2016.0,1,1,0
DEU,ARM,2017.0,2,3,-1
POL,AUS,2001.0,3,5,-2
ISR,TWN,2020.0,2,2,0
KOR,MEX,2013.0,1,1,0
LBY,NLD,2009.0,1,1,0
JPN,CZE,2011.0,9,5,4
BEL,NLD,1997.0,11,14,-3
KWT,PAK,2002.0,2,1,1
POL,GBR,2000.0,5,9,-4
FRA,PER,2010.0,6,4,2
BEL,CHN,2008.0,13,19,-6
IND,MYS,2006.0,19,14,5
IRL,ZAF,2021.0,5,7,-2
KOR,PAK,2014.0,21,31,-10
SWE,ISL,2010.0,13,9,4
MEX,GBR,2005.0,11,32,-21
IRL,HKG,2008.0,2,2,0
GBR,KWT,2006.0,8,5,3
JPN,SVK,2011.0,2,3,-1
CAN,JOR,2016.0,10,12,-2
DEU,MEX,2008.0,28,23,5
USA,KEN,2022.0,21,22,-1
RUS,PRT,2004.0,6,6,0
GBR,BGR,2010.0,5,9,-4
BHS,USA,2020.0,4,3,1
TUR,JPN,2016.0,5,11,-6
BEL,AUT,2008.0,5,3,2
BEL,BGD,2017.0,6,4,2
CHE,ZAF,2015.0,15,19,-4
IND,NAM,2014.0,2,1,1
IRL,BEL,2007.0,4,3,1
BRA,SWE,2019.0,27,10,17
PRT,ITA,2010.0,7,31,-24
ESP,SGP,2012.0,7,4,3
NOR,FIN,2012.0,6,15,-9
MAR,TUN,2010.0,1,1,0
TUR,QAT,2020.0,4,1,3
GRC,BEL,2005.0,9,10,-1
ESP,HRV,2018.0,6,5,1
ROU,CHE,2009.0,4,4,0
DNK,JPN,2017.0,6,7,-1
UKR,JPN,2011.0,1,4,-3
GBR,LTU,2020.0,6,6,0
THA,CAN,2012.0,7,14,-7
MYS,IRQ,2011.0,14,2,12
HKG,IRN,2018.0,1,4,-3
TZA,ETH,2013.0,1,1,0
CHL,CRI,2013.0,2,1,1
NLD,CHN,2004.0,19,15,4
DEU,IRQ,2017.0,9,1,8
NPL,ITA,2010.0,2,1,1
NZL,IRN,2018.0,2,25,-23
MOZ,ZAF,2013.0,2,1,1
SAU,YEM,2013.0,2,4,-2
BEL,SVN,2015.0,2,4,-2
IND,BGD,2014.0,12,11,1
CZE,KOR,2017.0,5,3,2
NOR,BEL,2020.0,6,13,-7
HKG,JPN,2004.0,7,5,2
POL,AUT,2017.0,11,6,5
MYS,BEL,2017.0,2,2,0
NLD,AUT,2010.0,18,15,3
SUR,NLD,2019.0,1,6,-5
IRL,AUS,2003.0,14,24,-10
KAZ,TUR,2015.0,4,2,2
GRC,NLD,2018.0,20,21,-1
SWE,POL,2022.0,8,10,-2
CZE,KOR,2019.0,3,3,0
CHE,DNK,2022.0,19,21,-2
GIN,GNQ,2018.0,1,1,0
PER,FRA,2012.0,5,7,-2
CHN,TUR,2020.0,9,13,-4
PSE,GBR,2018.0,3,5,-2
TWN,DEU,2014.0,25,18,7
BOL,SWE,2018.0,2,3,-1
BRA,ARG,2000.0,10,6,4
CHN,FIN,2021.0,42,32,10
ESP,ARE,2012.0,2,1,1
BGR,AUT,2020.0,2,2,0
PAK,ESP,2021.0,5,2,3
ARE,IND,2021.0,22,47,-25
ZAF,KEN,2022.0,5,6,-1
RUS,ITA,2017.0,14,30,-16
FRA,REU,2013.0,5,19,-14
ITA,ALB,2001.0,1,1,0
DNK,GRC,2013.0,5,10,-5
JPN,NGA,2002.0,2,4,-2
NOR,POL,2012.0,4,6,-2
BEL,RUS,2008.0,10,10,0
DNK,CHE,2002.0,17,9,8
PYF,FRA,2019.0,10,11,-1
SWE,RUS,2007.0,14,15,-1
CHN,BRA,1999.0,1,1,0
ISR,AUT,2013.0,6,2,4
FRA,CZE,2012.0,14,22,-8
CAN,KOR,2001.0,9,17,-8
SVK,AUT,2007.0,8,3,5
EST,DEU,2021.0,8,6,2
DEU,SVN,2016.0,5,12,-7
ISR,IRN,2009.0,1,1,0
CHN,LUX,2021.0,3,3,0
COL,FRA,2016.0,20,24,-4
IDN,KOR,2019.0,15,41,-26
USA,KHM,2012.0,2,2,0
FRA,NLD,2002.0,82,67,15
JPN,MYS,2001.0,6,3,3
TUR,ARE,2021.0,5,4,1
IND,BRA,2019.0,19,16,3
PER,BRA,2013.0,14,8,6
MWI,USA,2022.0,9,11,-2
NLD,AUT,2019.0,30,28,2
TZA,GBR,2021.0,5,9,-4
CAN,CMR,2017.0,1,2,-1
SVN,ROU,2011.0,1,1,0
ARE,NZL,2017.0,2,2,0
NGA,GHA,2013.0,1,2,-1
DEU,BGR,2017.0,15,5,10
KAZ,ZAF,2017.0,1,1,0
FRA,VNM,2008.0,5,6,-1
BRA,RUS,2017.0,5,17,-12
THA,BEL,2011.0,1,3,-2
FIN,CHL,2022.0,1,1,0
JPN,NPL,2018.0,12,4,8
KOR,CZE,2021.0,3,1,2
THA,NPL,2020.0,6,4,2
EST,PAK,2020.0,1,3,-2
SRB,NOR,2010.0,2,4,-2
RUS,EGY,2011.0,2,1,1
GIN,FRA,2016.0,3,5,-2
UKR,ITA,2022.0,3,2,1
JOR,EGY,2021.0,3,1,2
BRA,ECU,2021.0,6,4,2
JOR,USA,2000.0,4,1,3
HRV,SVN,2013.0,6,7,-1
DEU,DZA,2004.0,2,2,0
FJI,IND,2007.0,3,1,2
BGR,ITA,2013.0,4,3,1
ISR,TUR,2002.0,2,2,0
JOR,CAN,2004.0,6,3,3
SWE,COL,2006.0,2,1,1
ZAF,NGA,2003.0,9,7,2
BEL,IND,2006.0,6,7,-1
USA,SVN,2010.0,9,9,0
POL,SWE,2002.0,11,7,4
PYF,FRA,2010.0,2,4,-2
CYP,GRC,2013.0,13,41,-28
SAU,GBR,2001.0,12,10,2
BEL,DNK,2001.0,5,3,2
IND,BRA,2010.0,11,2,9
USA,CYP,2002.0,7,4,3
CMR,FRA,2011.0,8,14,-6
ITA,SVK,1999.0,2,1,1
PHL,AUS,2022.0,5,2,3
SDN,MYS,2010.0,4,1,3
ESP,ISR,2007.0,5,4,1
MYS,CHN,2012.0,5,5,0
MYS,SDN,2005.0,2,1,1
AUT,ESP,2010.0,13,12,1
AUS,RUS,2012.0,3,9,-6
POL,SWE,2005.0,13,6,7
BEL,JPN,2018.0,15,11,4
NZL,POL,2017.0,1,4,-3
RUS,BLR,2015.0,4,14,-10
IDN,FRA,2007.0,2,4,-2
DEU,NAM,2011.0,1,1,0
GBR,BGR,2017.0,3,12,-9
USA,LUX,2021.0,9,5,4
CHL,NLD,2011.0,3,3,0
DNK,CHN,2005.0,7,7,0
AUT,KEN,2013.0,2,1,1
AUS,KEN,2009.0,1,2,-1
GRC,BEL,2002.0,8,3,5
TUR,NOR,2009.0,4,1,3
CHN,IRQ,2011.0,2,2,0
FIN,CZE,2018.0,5,3,2
BGR,POL,2013.0,2,7,-5
AUT,SWE,2015.0,21,21,0
DEU,NPL,2018.0,4,2,2
USA,SVN,2019.0,10,10,0
LUX,BEL,2011.0,5,14,-9
PRI,SWE,2009.0,1,1,0
NOR,JPN,2017.0,3,7,-4
GAB,USA,2012.0,4,1,3
VEN,BRA,2007.0,2,6,-4
CHE,HRV,2012.0,4,6,-2
BOL,ESP,2019.0,2,1,1
SGP,JPN,2013.0,22,35,-13
USA,PRY,2019.0,1,2,-1
AUS,CZE,2018.0,5,5,0
BRA,NGA,2021.0,3,2,1
KEN,CAN,2021.0,5,2,3
NLD,PHL,2016.0,2,2,0
HKG,MYS,2015.0,3,6,-3
SRB,FRA,2004.0,2,1,1
AUS,NGA,2016.0,1,4,-3
NLD,ARG,2018.0,5,5,0
USA,SYR,2006.0,7,1,6
SRB,NOR,2017.0,2,1,1
PHL,GBR,2010.0,2,5,-3
KWT,IND,2017.0,3,7,-4
BFA,ZAF,2019.0,2,2,0
CAN,TWN,2019.0,10,16,-6
IRQ,PAK,2021.0,2,4,-2
CHE,BGR,2019.0,1,2,-1
OMN,IND,2021.0,12,14,-2
CAN,BGR,2018.0,3,2,1
TUR,IRL,2021.0,6,3,3
CHE,PHL,2015.0,4,2,2
PAK,CHN,2003.0,2,2,0
ESP,RUS,2003.0,7,8,-1
NZL,HKG,2007.0,4,1,3
SYR,USA,2011.0,2,3,-1
USA,SDN,2004.0,1,3,-2
FIN,AUT,2009.0,4,3,1
GBR,CMR,2008.0,5,1,4
KWT,IND,2019.0,5,5,0
SVN,IND,2021.0,1,6,-5
HRV,SRB,2011.0,10,8,2
TWN,KOR,2014.0,8,6,2
MYS,BEL,2010.0,1,1,0
GBR,SVK,2019.0,3,6,-3
HUN,FRA,2004.0,8,8,0
AUT,BRA,2016.0,6,4,2
CZE,POL,2007.0,3,5,-2
MOZ,FRA,2004.0,1,3,-2
JPN,ITA,2004.0,10,11,-1
AZE,KAZ,2021.0,1,1,0
KOR,ISR,2015.0,4,6,-2
MEX,RUS,1999.0,3,10,-7
CHE,SWE,2006.0,16,39,-23
USA,ZWE,2001.0,2,16,-14
DNK,ISR,2000.0,1,2,-1
DNK,CHN,2002.0,4,11,-7
NZL,IRL,2011.0,8,2,6
PAK,EST,2020.0,3,1,2
NOR,ZAF,2006.0,1,3,-2
GBR,SVK,2010.0,10,6,4
KOR,NOR,2017.0,4,3,1
IND,TTO,2013.0,3,1,2
HUN,TUR,2013.0,2,1,1
SDN,SWE,2016.0,2,1,1
NLD,LUX,2021.0,5,5,0
LKA,USA,2015.0,8,21,-13
DEU,BGR,2019.0,7,3,4
COG,ESP,2020.0,1,1,0
COG,FRA,2018.0,4,4,0
KOR,CHE,2007.0,7,2,5
MAC,TWN,2019.0,2,3,-1
GBR,LVA,2020.0,5,4,1
EGY,HUN,2018.0,3,3,0
GRC,TUR,2021.0,1,2,-1
SVN,AUT,2014.0,8,2,6
NOR,ESP,2016.0,10,31,-21
IRL,DNK,2022.0,2,7,-5
GRC,RUS,2019.0,1,1,0
THA,BGD,2021.0,1,2,-1
SAU,HKG,2020.0,6,5,1
BRA,EGY,2011.0,2,1,1
CHN,PHL,2021.0,3,4,-1
ZAF,SWE,2022.0,8,4,4
SWE,KWT,2008.0,1,1,0
IDN,CHE,2015.0,1,1,0
FRA,CIV,2004.0,12,12,0
ETH,SWE,2001.0,2,3,-1
GRC,PRT,2009.0,1,2,-1
GBR,LBN,2006.0,7,2,5
USA,TTO,1999.0,5,1,4
SEN,GBR,2016.0,2,1,1
RUS,LTU,2003.0,1,3,-2
LUX,SWE,2006.0,2,1,1
ESP,ROU,2002.0,3,1,2
QAT,CAN,2011.0,1,3,-2
FRA,VEN,2001.0,1,5,-4
AUT,NOR,2011.0,4,5,-1
SGP,POL,2018.0,2,1,1
AUT,FIN,2015.0,3,8,-5
JOR,SAU,2008.0,8,4,4
CHL,POL,2020.0,1,3,-2
SWE,BGR,2012.0,1,2,-1
CAN,SRB,2005.0,2,2,0
ITA,FIN,2001.0,6,8,-2
MEX,DNK,2005.0,3,1,2
BOL,ESP,2017.0,1,5,-4
SAU,ARE,2002.0,3,4,-1
BRA,RUS,2010.0,3,1,2
NZL,BRA,2008.0,2,2,0
UZB,USA,2007.0,3,1,2
ISL,NOR,2002.0,5,4,1
UKR,CHE,2007.0,1,1,0
ITA,PER,2017.0,2,1,1
BEL,MEX,2014.0,11,3,8
SWE,TUR,2001.0,2,1,1
RUS,SGP,2012.0,2,2,0
CZE,GRC,2009.0,1,1,0
CHE,SRB,2011.0,4,5,-1
AUS,SVK,2017.0,2,1,1
IRN,KOR,2009.0,2,2,0
CRI,DEU,2005.0,1,2,-1
BRN,SGP,2011.0,1,1,0
GNB,DNK,2018.0,3,3,0
AUS,BTN,2017.0,3,7,-4
FIN,ROU,2015.0,3,3,0
SDN,MYS,2017.0,4,12,-8
NER,BEL,2018.0,1,1,0
FRA,PER,2019.0,4,6,-2
BEL,BGD,2019.0,5,2,3
NZL,CZE,2014.0,2,2,0
GBR,PRI,2011.0,1,2,-1
ESP,PAK,2015.0,1,2,-1
FIN,CHE,2022.0,8,7,1
GHA,KOR,2015.0,2,3,-1
IRL,POL,2015.0,4,4,0
MAC,KOR,2022.0,1,1,0
MMR,THA,2020.0,3,6,-3
CAN,CUB,2004.0,2,2,0
CHL,ITA,2015.0,4,16,-12
SVN,HRV,2017.0,6,5,1
ARE,SAU,2004.0,3,2,1
SVN,FRA,2013.0,4,4,0
ROU,BRA,2012.0,2,1,1
FRA,HRV,1999.0,1,1,0
ISR,HUN,2019.0,2,4,-2
AUT,NLD,2004.0,5,11,-6
KEN,PAK,2019.0,7,6,1
USA,PRY,2017.0,2,2,0
IDN,VNM,2022.0,2,1,1
DNK,CHE,2005.0,9,10,-1
MNE,SRB,2022.0,5,3,2
BEL,HRV,2020.0,2,2,0
KEN,CHE,2008.0,3,1,2
SWE,MYS,2014.0,4,4,0
TUR,ISR,2005.0,3,3,0
ITA,CZE,2001.0,5,2,3
TWN,FRA,2002.0,5,3,2
NGA,BWA,2002.0,1,2,-1
LBN,ITA,2014.0,1,5,-4
DNK,NZL,2013.0,3,10,-7
DEU,CMR,2007.0,1,5,-4
SAU,JPN,2013.0,4,20,-16
USA,AZE,2010.0,2,1,1
CHL,ECU,2011.0,2,1,1
FRA,YEM,2009.0,1,1,0
TUN,CHE,2009.0,2,3,-1
GAB,GBR,2016.0,2,3,-1
SWE,ROU,2020.0,1,2,-1
RUS,IND,2007.0,4,2,2
SAU,DZA,2016.0,3,6,-3
LTU,GBR,1998.0,1,1,0
SVN,CAN,2021.0,1,1,0
BGR,RUS,2010.0,1,4,-3
SGP,KAZ,2021.0,1,1,0
PAK,IRN,2013.0,2,1,1
ESP,HKG,2016.0,1,5,-4
USA,TUN,2018.0,3,4,-1
SDN,MYS,2019.0,1,5,-4
SGP,CAN,2022.0,7,12,-5
CHE,EGY,2018.0,5,7,-2
CAN,CMR,2019.0,2,2,0
SWE,BGD,2013.0,2,2,0
ARE,SGP,2018.0,2,3,-1
PRT,ARG,2012.0,1,2,-1
NZL,POL,2019.0,1,1,0
THA,CHN,2013.0,5,6,-1
PAK,SGP,2012.0,5,4,1
BGR,ESP,1999.0,3,2,1
DEU,PSE,2014.0,4,4,0
SWE,KOR,2017.0,4,10,-6
TTO,AUS,2007.0,1,1,0
ITA,JOR,2017.0,2,1,1
HKG,TWN,2000.0,1,1,0
SWE,PRT,2002.0,6,3,3
COG,USA,2013.0,3,1,2
ARG,AUS,2015.0,3,6,-3
HRV,SGP,2016.0,1,1,0
AUS,PHL,2007.0,8,2,6
SAU,MAR,2016.0,1,2,-1
